weight,f1,precision,recall,critical_recall,mae
1.0,0.7692307692307693,0.7786885245901639,0.76,0.8425925925925926,0.17917431989924432
1.5,0.768595041322314,0.7948717948717948,0.744,0.8518518518518519,0.1729170176322418
2.5,0.7364016736401674,0.7719298245614035,0.704,0.8148148148148148,0.1797969622166247
5.0,0.7,0.632258064516129,0.784,0.8611111111111112,0.2422428967254408
